"PlayerID","FirstName","LastName","Multiplicity"
8445179,"Willie","Brossart",1
8445180,"Adam","Brown",1
8445181,"Arnie","Brown",1
8445182,"Connie","Brown",1
8445183,"Fred","Brown",1
8445184,"George","Brown",1
8445185,"Gerry","Brown",1
8445186,"Hal","Brown",1
8445187,"Stan","Brown",1
8445189,"Cecil","Browne",1
8445190,"Gordie","Bruce",1
8445191,"Morley","Bruce",1
8445193,"Eddie","Bruneteau",1
8445194,"Mud","Bruneteau",1
8445195,"Jergus","Baca",1
8445197,"Warren","Babe",1
8445202,"Jamie","Baker",1
8445203,"Bill","Brydge",1
8445206,"John","Baby",1
8445207,"Wayne","Babych",1
8445208,"Dave","Babych",1
8445209,"Mike","Backman",1
8445211,"Reid","Bailey",1
8445212,"Bill","Baker",1
8445223,"Joel","Baillargeon",1
8445225,"Jeff","Bandura",1
8445232,"Peter","Bakovic",1
8445233,"Glenn","Brydson",1
8445234,"Gord","Brydson",1
8445236,"Al","Buchanan",1
8445240,"Johnny","Bucyk",1
8445241,"Doug","Buhr",1
8445242,"Tony","Bukovich",1
8445244,"Hy","Buller",1
8445245,"Helmut","Balderis",1
8445252,"Bill","Barber",1
8445253,"Don","Barber",1
8445254,"Ralph","Barahona",1
8445255,"Billy","Burch",1
8445258,"Glen","Burdon",1
8445259,"Bill","Burega",1
8445261,"Eddie","Burke",1
8445262,"Marty","Burke",1
8445266,"Murray","Baron",1
8445267,"Normand","Baron",1
8445270,"Norm","Barnes",1
8445273,"Dave","Barr",1
8445274,"Fred","Barrett",1
8445276,"John","Barrett",1
8445277,"Robin","Bartel",1
8445281,"Bob","Bassen",1
8445283,"Len","Barrie",1
8445284,"Roy","Burmister",1
8445287,"Kelly","Burnett",1
8445288,"Bobby","Burns",1
8445289,"Charlie","Burns",1
8445291,"Norm","Burns",1
8445292,"Robin","Burns",1
8445294,"Cummy","Burton",1
8445295,"Eddie","Bush",1
8445296,"Walt","Buswell",1
8445297,"Dick","Butler",1
8445298,"Frank","Bathe",1
8445301,"Gord","Byers",1
8445302,"Mike","Byers",1
8445303,"Jack","Caffery",1
8445305,"Larry","Cahan",1
8445306,"Charles","Cahill",1
8445307,"Herb","Cain",1
8445308,"Francis","Cain",1
8445309,"Don","Cairns",1
8445310,"Norm","Calladine",1
8445312,"Billy","Cameron",1
8445313,"Craig","Cameron",1
8445314,"Harry","Cameron",1
8445315,"Scotty","Cameron",1
8445316,"Bryan","Campbell",1
8445318,"Don","Campbell",1
8445319,"Earl","Campbell",1
8445320,"Tod","Campeau",1
8445321,"Leo","Carbol",1
8445323,"Ken","Baumgartner",1
8445325,"Steve","Cardwell",1
8445326,"George","Carey",1
8445327,"Wayne","Carleton",1
8445328,"Brian","Carlin",1
8445329,"Alain","Caron",1
8445330,"Ed","Carpenter",1
8445331,"Red","Carr",1
8445332,"Gene","Carr",1
8445333,"Lorne","Carr",1
8445334,"Gene","Carrigan",1
8445335,"Robin","Bawa",1
8445338,"Paul","Baxter",1
8445343,"Bill","Carse",1
8445344,"Bob","Carse",1
8445345,"Bill","Carson",1
8445346,"Frank","Carson",1
8445347,"Gerry","Carson",1
8445349,"Joe","Carveth",1
8445350,"Tom","Cassidy",1
8445351,"Ray","Ceresino",1
8445352,"John","Chad",1
8445353,"Sandy","Beadle",1
8445358,"Murph","Chamberlain",1
8445360,"Frank","Beaton",1
8445362,"Art","Chapman",1
8445363,"Bob","Charlebois",1
8445364,"Lude","Check",1
8445366,"Dick","Cherry",1
8445371,"Real","Chevrefils",1
8445373,"Rick","Chinnick",1
8445384,"Rick","Bennett",1
8445385,"Bob","Beers",1
8445395,"Eddy","Beers",1
8445397,"Barry","Beck",1
8445399,"John","Bednarski",1
8445400,"Curt","Bennett",1
8445407,"Alain","Belanger",1
8445408,"Jean","Beliveau",1
8445410,"Roger","Belanger Jr.",1
8445413,"Drake","Berehowsky",1
8445414,"Bill","Bennett",1
8445415,"Neil","Belland",1
8445416,"Jim","Benning",1
8445417,"Brian","Bellows",1
8445418,"Bruce","Bell",1
8445419,"Brian","Benning",1
8445421,"Todd","Bergen",1
8445423,"Benoit","Hogue",1
8445424,"Bill","Berg",1
8445427,"Perry","Berezan",1
8445428,"Marc","Bergevin",1
8445430,"Michel","Bergeron",1
8445434,"Bo","Berglund",1
8445435,"Mike","Berger",1
8445436,"Jonas","Bergqvist",1
8445437,"Tim","Bergland",1
8445439,"Lex","Chisholm",1
8445440,"Craig","Berube",1
8445443,"Brad","Berry",1
8445445,"Thommie","Bergman",1
8445446,"Serge","Bernier",1
8445451,"Doug","Berry",1
